<<<<<<< HEAD
id,first_name,last_name,state_id,birthday,age,gender_id,accountCreatedDate
71,Bonita,Davis,41,1989-12-17,27,2,2008-05-03
72,Anna,Tran,5,1983-03-30,33,2,2009-06-27
73,William,Pittman,4,2003-11-14,13,1,2015-10-16
74,Susan,Harrison,44,1970-04-02,46,2,2011-03-18
75,John,Johnson,23,1987-11-17,29,1,2000-07-02
76,Mary,Carroll,26,1999-10-31,17,2,2011-03-08
77,Greg,May,49,1982-07-08,34,1,2009-07-12
78,Marsha,Foster,12,1966-11-16,50,2,2007-08-31
79,Joseph,Webster,34,1990-11-06,26,1,2004-11-06
80,Curt,Reynolds,31,1991-02-05,26,1,2002-03-21
81,Gordon,Larsen,21,1984-06-28,32,1,2005-09-23
82,Audrey,Burton,36,1992-10-08,24,2,2012-09-02
83,Joseph,Hays,23,1996-05-21,20,1,2013-04-25
84,Deloris,Bruce,48,1992-04-01,24,2,2002-06-04
85,Irene,Lee,9,1965-04-16,51,2,2011-08-29
86,Gilbert,Allen,31,1961-10-18,55,1,2000-09-05
87,Timothy,Franklin,10,1971-03-06,46,1,2013-03-18
88,Ashley,Jackson,33,1990-05-19,26,2,2008-01-20
89,Edmund,Thompson,16,1990-02-13,27,1,2000-11-20
90,Terri,Doyle,22,1989-04-21,27,2,2006-09-15
91,William,Dawson,9,1959-09-08,57,1,2000-03-17
92,Martha,Brown,7,1983-11-09,33,2,2000-03-14
93,Melissa,Conrad,10,1954-03-09,62,2,2001-09-15
94,Lorraine,Lopez,32,1968-08-19,48,2,2003-07-21
95,William,Kennedy,15,1996-10-18,20,1,2009-10-04
96,Renee,Martin,29,1985-10-05,31,2,2012-04-19
97,Kay,Ramirez,6,1978-01-18,39,2,2001-09-12
98,Cathleen,James,23,1956-09-04,60,2,2000-05-11
99,Earl,Alexander,18,2001-02-20,16,1,2012-11-22
100,George,Cameron,1,1957-09-06,59,1,2003-09-04
=======
id,first_name,last_name,state_id,birthday,age,gender_id,acct_created_date
1,William,Chandler,12,1958-09-05,58,1,2015-04-19
2,Jacob,Greene,2,1960-09-05,56,1,2006-11-03
3,John,Christian,41,1967-09-25,49,1,2014-01-18
4,Randy,Gray,36,1952-07-27,64,1,2004-10-03
5,Andrew,Brown,18,1981-03-19,35,1,2014-06-29
6,Maria,Bullock,10,1969-08-19,47,2,2009-06-05
7,Truman,Warren,45,1990-11-26,26,1,2015-07-20
8,Tamara,King,43,1989-02-01,28,2,2001-02-02
9,Sharon,Valentine,19,1968-10-04,48,2,2015-12-16
10,Michael,Sanchez,47,1995-03-09,21,1,2009-10-22
11,David,Cox,34,1952-04-11,64,1,2011-07-25
12,Lisa,Bennett,28,1962-10-17,54,2,2003-08-23
13,Henry,Mathis,3,1994-03-20,22,1,2006-08-08
14,Lisa,Martin,45,1987-08-13,29,2,2014-04-18
15,Forest,Gibbs,12,1950-03-23,66,1,2012-07-31
16,Melissa,Robinson,19,1990-12-19,26,2,2012-07-14
17,Norman,Floyd,5,1996-10-23,20,1,2012-02-20
18,Stephanie,Brown,42,1993-11-08,23,2,2004-05-04
19,Leon,Adams,28,1972-09-20,44,1,2001-12-13
20,Charlie,Campos,2,1983-11-30,33,1,2008-05-31
21,James,Finch,1,1996-05-19,20,1,2012-06-17
22,Bryan,Pruitt,50,1983-04-04,33,1,2012-11-16
23,Elizabeth,Miller,23,1952-12-21,64,2,2002-05-19
24,Rebecca,Bates,46,1966-04-23,50,2,2006-05-08
25,Michael,Owens,49,2001-04-20,15,1,2014-05-16
26,Robert,Copeland,7,1952-12-07,64,1,2001-09-12
27,Louise,Mann,29,1975-10-18,41,2,2006-12-10
28,Alberta,Campbell,26,2002-11-07,14,2,2012-06-27
29,Betsy,Turner,29,1981-08-16,35,2,2010-07-31
30,James,Williams,28,1950-04-06,66,1,2000-06-09
31,Jeannie,Hartman,38,1977-04-04,39,2,2007-11-23
32,Yvette,Lee,25,1962-05-13,54,2,2008-01-03
33,Evelyn,Whitney,12,1957-08-18,59,2,2009-08-20
34,Joe,Murray,47,1982-07-09,34,1,2011-05-04
35,Alan,Whitfield,20,1966-07-28,50,1,2003-03-01
36,Mike,Lancaster,7,1994-05-06,22,1,2014-11-29
37,Audrey,Copeland,26,1980-07-22,36,2,2009-05-25
38,Marilyn,Jackson,18,1966-03-18,50,2,2005-05-20
39,Stephanie,Delacruz,1,1957-07-29,59,2,2004-09-12
40,Lance,Wallace,42,1989-07-21,27,1,2015-09-22
41,Geraldine,Cole,4,1994-08-31,22,2,2005-07-10
42,William,Walker,5,2002-12-01,14,1,2012-05-28
43,Manuel,Lewis,24,1994-11-14,22,1,2006-04-08
44,Nellie,Mccall,35,1964-05-23,52,2,2005-09-26
45,Betty,White,3,1961-02-21,56,2,2009-06-25
46,Dorothy,Calhoun,34,1968-01-14,49,2,2000-08-05
47,Theresa,Hopper,4,1999-11-02,17,2,2012-07-08
48,Scott,Thomas,16,1968-05-15,48,1,2003-11-17
49,Thomas,Baird,27,1959-10-05,57,1,2000-02-01
50,Kevin,Roberts,2,1995-02-17,22,1,2007-01-24
51,Pamela,Alvarez,15,1974-03-29,42,2,2006-02-13
52,Samuel,White,40,1982-12-12,34,1,2012-06-21
53,Dora,Peterson,9,1981-12-31,35,2,2005-08-08
54,Terry,Montgomery,35,1952-09-14,64,1,2002-01-23
55,Mary,Stevens,26,1952-02-12,65,2,2013-11-18
56,Juan,Butler,46,1969-08-10,47,1,2015-03-29
57,Ila,Carter,3,1990-07-28,26,2,2005-12-01
58,Dianna,Rodriguez,42,1982-06-10,34,2,2000-02-04
59,Cody,Velasquez,22,1976-12-11,40,1,2004-05-02
60,Joshua,Stewart,49,2000-06-04,16,1,2015-01-17
61,Jeri,Bass,19,1967-09-04,49,2,2005-10-10
62,Robert,Dale,23,1976-04-06,40,1,2010-06-27
63,Christopher,Crawford,10,2000-05-30,16,1,2012-11-08
64,Francis,Hughes,48,1978-08-18,38,1,2003-12-15
65,Kim,Marshall,36,1950-09-13,66,2,2008-08-04
66,David,Clark,21,1985-10-16,31,1,2014-11-15
67,Therese,Knight,16,2002-05-24,14,2,2015-12-10
68,Ingrid,Trevino,31,1962-02-07,55,2,2009-01-27
69,William,Hall,10,1995-01-15,22,1,2015-09-30
70,Katherine,Burgess,15,1987-03-16,29,2,2005-08-27
71,Angela,West,44,1974-02-17,43,2,2007-05-25
72,Christine,Howard,39,1984-04-20,32,2,2004-10-04
73,Diana,Washington,49,1976-01-28,41,2,2009-06-03
74,Oscar,Brown,8,1994-06-13,22,1,2015-09-08
75,Jennifer,Scott,38,1972-02-19,45,2,2015-03-31
76,Donna,Doyle,6,1993-11-07,23,2,2003-09-01
77,James,Reynolds,19,1981-06-22,35,1,2010-12-01
78,Kathleen,Brown,19,1991-04-01,25,2,2008-03-03
79,Grace,Black,28,1985-11-28,31,2,2015-04-14
80,Frank,Martin,50,1986-06-21,30,1,2001-04-05
81,Paula,Jones,12,1981-09-09,35,2,2008-06-28
82,Gary,Johnson,46,1961-01-05,56,1,2002-12-12
83,Denis,Martin,23,1984-05-22,32,1,2003-06-08
84,Flora,Hopkins,48,1987-09-03,29,2,2010-05-26
85,Stanley,Mullins,48,1975-02-03,42,1,2004-10-18
86,Paul,Lynch,45,1966-04-18,50,1,2010-08-30
87,Ericka,Beach,46,1972-12-05,44,2,2008-01-07
88,Etta,Henry,28,1962-02-18,55,2,2002-07-01
89,Marvin,Newton,18,1988-05-14,28,1,2008-03-29
90,Sherman,Robertson,5,1962-09-24,54,1,2013-04-01
91,Harold,Fleming,34,1990-12-08,26,1,2002-07-09
92,Robert,Miles,35,1968-11-23,48,1,2012-05-02
93,Erin,Duncan,38,1953-01-17,64,2,2001-11-07
94,John,Reynolds,33,1985-09-05,31,1,2008-05-28
95,Bonnie,Hyde,39,1951-03-16,65,2,2013-10-04
96,Matthew,Powers,25,2002-02-04,15,1,2012-08-03
97,Aron,Aguilar,31,1999-08-22,17,1,2014-09-30
98,Calvin,Rodriguez,1,1987-02-17,30,1,2014-12-06
99,Martin,Cole,50,1967-11-18,49,1,2005-03-18
100,Aaron,Beck,31,1964-10-03,52,1,2014-08-10
>>>>>>> c86993d3e676d44a81e2d6481122ccec4a0fe077
